"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2020","8,050.14","8,024.62","8,066.24","8,026.06","433.54M","0.32%"
"Sep 06, 2020","8,024.62","8,007.06","8,034.53","7,978.70","401.63M","-0.25%"
"Sep 03, 2020","8,045.09","8,013.44","8,053.71","8,001.43","564.10M","0.39%"
"Sep 02, 2020","8,013.44","7,898.86","8,013.44","7,861.61","497.72M","1.45%"
"Sep 01, 2020","7,898.86","7,940.70","7,995.55","7,898.86","514.15M","-0.53%"
"Aug 31, 2020","7,940.70","7,983.82","8,017.28","7,940.70","546.49M","-0.54%"
"Aug 30, 2020","7,983.82","7,934.43","7,984.27","7,929.61","369.58M","0.62%"
"Aug 27, 2020","7,934.43","7,955.04","7,977.04","7,924.68","420.28M","-0.26%"
"Aug 26, 2020","7,955.04","7,938.36","7,955.04","7,908.01","388.65M","0.21%"
"Aug 25, 2020","7,938.36","7,957.38","7,995.71","7,938.36","393.94M","-0.24%"
"Aug 24, 2020","7,957.38","7,901.93","7,957.38","7,892.48","396.87M","0.70%"
"Aug 23, 2020","7,901.93","7,842.84","7,901.93","7,848.70","364.92M","0.75%"
"Aug 20, 2020","7,842.84","7,853.05","7,848.30","7,812.27","299.45M","-0.13%"
"Aug 19, 2020","7,853.05","7,853.57","7,890.79","7,842.15","388.12M","-0.01%"
"Aug 18, 2020","7,853.57","7,757.26","7,853.57","7,734.22","328.38M","1.24%"
"Aug 17, 2020","7,757.26","7,759.48","7,800.91","7,700.90","407.84M","-0.03%"
"Aug 16, 2020","7,759.48","7,704.25","7,760.35","7,716.02","312.37M","0.72%"
"Aug 13, 2020","7,704.25","7,645.55","7,708.78","7,652.35","339.68M","0.77%"
"Aug 12, 2020","7,645.55","7,626.23","7,646.51","7,601.67","312.72M","0.25%"
"Aug 11, 2020","7,626.23","7,535.96","7,626.23","7,536.34","386.55M","1.20%"
"Aug 10, 2020","7,535.96","7,530.31","7,545.31","7,517.30","297.46M","0.08%"
"Aug 09, 2020","7,530.31","7,499.97","7,533.86","7,490.80","282.12M","0.40%"
"Aug 06, 2020","7,499.97","7,470.26","7,518.13","7,486.39","242.26M","0.40%"
"Aug 05, 2020","7,470.26","7,459.21","7,505.22","7,459.77","229.08M","0.15%"
"Jul 28, 2020","7,459.21","7,455.74","7,459.26","7,437.54","201.69M","0.05%"
"Jul 27, 2020","7,455.74","7,434.05","7,463.16","7,423.95","186.59M","0.29%"
"Jul 26, 2020","7,434.05","7,426.78","7,444.21","7,403.78","223.26M","0.10%"
"Jul 23, 2020","7,426.78","7,427.89","7,430.47","7,406.71","232.58M","-0.01%"
"Jul 22, 2020","7,427.89","7,417.26","7,436.03","7,411.93","320.82M","0.14%"
"Jul 21, 2020","7,417.26","7,377.36","7,417.26","7,373.83","328.00M","0.54%"
"Jul 20, 2020","7,377.36","7,423.23","7,409.89","7,257.16","419.03M","0.97%"
"Jul 19, 2020","7,306.64","7,438.96","7,449.12","7,257.18","290.79M","-1.62%"
"Jul 16, 2020","7,426.76","7,418.04","7,439.32","7,416.85","272.74M","0.00%"
"Jul 15, 2020","7,426.76","7,385.69","7,439.32","7,383.09","272.74M","0.63%"
"Jul 14, 2020","7,380.35","7,412.21","7,410.09","7,357.00","267.92M","-0.43%"
"Jul 13, 2020","7,412.21","7,431.58","7,443.47","7,406.01","341.35M","-0.26%"
"Jul 12, 2020","7,431.58","7,439.66","7,450.58","7,425.36","303.43M","0.20%"
"Jul 09, 2020","7,416.67","7,394.26","7,439.73","7,405.27","314.26M","0.30%"
"Jul 08, 2020","7,394.26","7,400.53","7,415.52","7,391.47","317.68M","-0.08%"
"Jul 07, 2020","7,400.53","7,390.59","7,427.42","7,391.17","267.13M","0.13%"
"Jul 06, 2020","7,390.59","7,388.49","7,424.79","7,375.01","395.53M","0.03%"
